SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22019,1610612746,LAC,LA Clippers,0021900164,2019-11-14,LAC @ NOP,L,239,127,46,84,0.548,11,24,0.458,24,31,0.774,6,31,37,28,6,6,16,22,-5.0
22019,1610612746,LAC,LA Clippers,0021900157,2019-11-13,LAC @ HOU,L,239,93,38,98,0.388,10,33,0.303,7,14,0.5,11,42,53,17,3,3,13,21,-9.0
22019,1610612746,LAC,LA Clippers,0021900145,2019-11-11,LAC vs. TOR,W,240,98,34,92,0.37,8,36,0.222,22,30,0.733,20,46,66,25,9,7,19,21,10.0
22019,1610612746,LAC,LA Clippers,0021900115,2019-11-07,LAC vs. POR,W,240,107,39,89,0.438,4,23,0.174,25,30,0.833,13,44,57,20,6,12,17,14,6.0
22019,1610612746,LAC,LA Clippers,0021900111,2019-11-06,LAC vs. MIL,L,238,124,41,98,0.418,13,31,0.419,29,36,0.806,14,40,54,21,4,3,19,28,-5.0
22019,1610612746,LAC,LA Clippers,0021900090,2019-11-03,LAC vs. UTA,W,240,105,36,92,0.391,7,32,0.219,26,34,0.765,18,36,54,15,7,6,9,25,11.0
22019,1610612746,LAC,LA Clippers,0021900068,2019-10-31,LAC vs. SAS,W,240,103,39,91,0.429,5,26,0.192,20,27,0.741,11,36,47,16,9,1,11,23,6.0
22019,1610612746,LAC,LA Clippers,0021900063,2019-10-30,LAC @ UTA,L,240,96,39,82,0.476,8,23,0.348,10,12,0.833,6,30,36,19,3,4,19,22,-14.0
22019,1610612746,LAC,LA Clippers,0021900051,2019-10-28,LAC vs. CHA,W,239,111,40,83,0.482,12,33,0.364,19,21,0.905,9,35,44,23,11,8,21,24,15.0
22019,1610612746,LAC,LA Clippers,0021900035,2019-10-26,LAC @ PHX,L,239,122,40,87,0.46,11,32,0.344,31,39,0.795,10,31,41,20,8,4,12,32,-8.0
22019,1610612746,LAC,LA Clippers,0021900016,2019-10-24,LAC @ GSW,W,239,141,50,80,0.625,18,32,0.563,23,30,0.767,3,36,39,33,7,5,17,24,19.0
22019,1610612746,LAC,LA Clippers,0021900002,2019-10-22,LAC vs. LAL,W,239,112,42,81,0.519,11,31,0.355,17,24,0.708,11,34,45,24,8,5,14,25,10.0
